Collecting time,X,Y,Z,
34953,-134,-248,405,
34993,-180,-282,409,
35034,-229,-276,405,
35074,-278,-254,385,
35114,-352,-212,342,
35154,-408,-137,273,
35194,-443,-57,185,
35234,-428,41,73,
35274,-354,136,-24,
35314,-229,206,-50,
35354,-79,223,-22,
35394,31,157,92,
35434,44,66,177,
35474,34,8,201,
35514,43,-40,222,
35554,47,-58,233,
35594,49,-55,232,
35634,31,-41,235,
35674,4,-9,222,
35714,-47,7,240,
35754,-130,9,260,
35794,-218,29,240,
35834,-334,35,179,
35874,-441,23,69,
35914,-499,-1,-62,
35954,-495,-21,-200,
35994,-448,-38,-307,
36035,-401,-73,-391,
36075,-352,-112,-453,
36115,-315,-168,-499,
36155,-287,-226,-536,
36195,-254,-245,-561,
36235,-187,-282,-587,
36275,-52,-395,-608,
36315,167,-470,-521,
36355,344,-423,-299,
36395,354,-239,-67,
36435,267,-120,49,
36475,183,-68,116,
36515,104,-59,192,
36555,41,-61,234,
36595,-12,-65,271,
36635,-45,-69,293,
36675,-62,-67,298,
36715,-87,-95,332,
36755,-127,-140,360,
36795,-187,-186,381,
36835,-271,-217,373,
36875,-340,-202,345,
36915,-417,-145,262,
36955,-465,-65,153,
36995,-435,42,34,
37036,-353,128,-36,
37076,-215,201,-56,
37116,-67,205,38,
37156,26,94,204,
37196,26,-50,295,
37236,-4,-120,318,
37276,-41,-179,341,
37316,-65,-202,355,
37356,-92,-220,367,
37396,-143,-223,373,
37436,-203,-189,367,
37476,-282,-160,335,
37516,-370,-150,292,
37556,-459,-130,212,
37596,-543,-136,96,
37636,-584,-147,-45,
37676,-572,-149,-193,
37716,-524,-154,-319,
37756,-455,-152,-397,
37796,-394,-160,-452,
37836,-339,-173,-493,
37876,-290,-209,-534,
37916,-239,-250,-562,
37956,-140,-302,-595,
37996,-6,-423,-588,
38037,177,-448,-506,
38077,329,-338,-324,
38117,344,-209,-147,
38157,282,-106,-57,
38197,220,-57,16,
38237,179,-49,78,
38277,151,-50,113,
38317,145,-45,113,
38357,135,-52,145,
38397,121,-70,189,
38437,90,-88,244,
38477,40,-126,307,
38517,-37,-177,363,
38557,-117,-228,397,
38597,-228,-291,407,
38637,-333,-315,376,
38677,-423,-288,317,
38717,-494,-243,234,
38757,-527,-163,147,
38797,-514,-56,69,
38837,-446,55,29,
38877,-331,151,42,
38917,-180,200,70,
